filename,raw,class
00_102100_1970-10-09_20080.jpg,38,4
00_1024100_1982-06-07_20110.jpg,29,3
00_11328300_1980-06-10_20080.jpg,28,3
00_1199800_1976-04-13_20120.jpg,36,4
00_12318000_1988-06-12_20080.jpg,20,2
00_14393400_1914-05-02_19610.jpg,47,5
00_15200800_1958-08-21_19840.jpg,26,3
00_15446600_1975-09-14_20050.jpg,30,3
00_17580100_1983-09-04_20090.jpg,26,3
00_18287100_1979-07-13_20090.jpg,30,3
00_1904800_1970-02-12_20080.jpg,38,4
00_1979400_1978-03-21_20050.jpg,27,3
00_20757000_1987-01-27_20110.jpg,24,3
00_22964300_1952-04-12_19680.jpg,16,1
00_24727400_1990-11-19_20120.jpg,22,3
00_24817400_1984-10-25_20110.jpg,27,3
00_27210600_1960-06-10_20120.jpg,52,6
00_27356400_1991-05-03_20110.jpg,20,2
00_28892600_1995-02-06_20130.jpg,18,1
00_33754400_1990-05-22_20140.jpg,24,3
00_34727100_1921-08-18_19530.jpg,32,4
00_3482000_1971-03-20_20050.jpg,34,4
00_3546500_1975-04-18_20080.jpg,33,4
00_35734000_1989-05-01_20120.jpg,23,3
00_36291500_1987-05-07_20120.jpg,25,3
00_36672700_1987-12-10_20120.jpg,25,3
00_36731000_1940-03-18_19580.jpg,18,1
00_36883800_1990-01-22_20141.jpg,24,3
00_373900_1989-06-02_20110.jpg,22,3
00_37666900_1991-05-20_20140.jpg,23,3
00_37805500_1989-12-14_20110.jpg,22,3
00_38012000_1992-01-19_20130.jpg,21,2
00_38937100_1993-11-30_20150.jpg,22,3
00_41571700_1990-09-22_20110.jpg,21,2
00_42542100_1934-01-25_19580.jpg,24,3
00_44060600_1974-09-30_20150.jpg,41,5
00_47030000_1979-06-09_20150.jpg,36,4
00_6587200_1982-04-01_20090.jpg,27,3
00_6678800_1953-05-23_20090.jpg,56,6
00_7016800_1953-07-11_20150.jpg,62,6
00_7739200_1962-05-19_20151.jpg,53,6
00_7948400_1983-05-25_20030.jpg,20,2
00_836500_1977-03-04_20070.jpg,30,3
00_8495800_1922-12-14_20050.jpg,83,9
00_8644800_1890-12-09_19480.jpg,58,6
00_870700_1952-04-27_20080.jpg,56,6
00_963800_1941-11-15_20110.jpg,70,7
00_9801700_1969-10-11_20120.jpg,43,5
01_10587001_1979-11-02_20110.jpg,32,4
01_10587001_1979-11-02_20111.jpg,32,4
01_10934101_1974-01-03_20130.jpg,39,4
01_11085701_1971-02-01_20060.jpg,35,4
01_11535001_1987-08-03_20130.jpg,26,3
01_12005901_1900-05-18_19620.jpg,62,6
01_12878201_1974-07-14_20100.jpg,36,4
01_13252701_1986-01-16_20130.jpg,27,3
01_1346801_1930-10-26_19590.jpg,29,3
01_1385101_1949-10-19_20070.jpg,58,6
01_15032801_1992-05-04_20090.jpg,17,1
01_18912101_1981-04-27_20090.jpg,28,3
01_19200001_1960-12-13_20110.jpg,51,6
01_2026101_1922-12-27_20050.jpg,83,9
01_2048301_1982-07-11_20110.jpg,29,3
01_2048301_1982-07-11_20111.jpg,29,3
01_20755901_1965-12-17_20150.jpg,50,5
01_2104801_1975-11-20_20100.jpg,35,4
01_21054301_1987-07-14_20110.jpg,24,3
01_2190901_1958-07-26_20030.jpg,45,5
